cc;amount;year;month;product
IT;0;2015;04;crude
MQ;0;2015;04;crude
NL;3337;2015;04;crude
PL;0;2015;04;crude
PT;0;2015;04;crude
ES;309;2015;04;crude
GB;7243;2015;04;crude
SE;1843;2015;04;crude
DE;3158;2015;04;crude
US;806;2015;04;crude
BE;0;2015;05;crude
CA;0;2015;05;crude
DK;962;2015;05;crude
FI;0;2015;05;crude
FR;302;2015;05;crude
IE;871;2015;05;crude
IT;0;2015;05;crude
MQ;584;2015;05;crude
NL;5511;2015;05;crude
PL;0;2015;05;crude
PT;0;2015;05;crude
ES;296;2015;05;crude
GB;7540;2015;05;crude
SE;1134;2015;05;crude
DE;772;2015;05;crude
US;393;2015;05;crude
BE;0;2015;06;crude
CA;489;2015;06;crude
DK;615;2015;06;crude
FI;0;2015;06;crude
FR;0;2015;06;crude
IE;578;2015;06;crude
IT;0;2015;06;crude
MQ;0;2015;06;crude
NL;7296;2015;06;crude
PL;0;2015;06;crude
PT;299;2015;06;crude
ES;939;2015;06;crude
GB;6149;2015;06;crude
SE;1014;2015;06;crude
DE;1131;2015;06;crude
US;776;2015;06;crude
BE;0;2015;07;crude
CA;0;2015;07;crude
DK;780;2015;07;crude
FI;0;2015;07;crude
FR;281;2015;07;crude
IE;614;2015;07;crude
IT;276;2015;07;crude
MQ;279;2015;07;crude
NL;4048;2015;07;crude
PL;363;2015;07;crude
PT;0;2015;07;crude
ES;260;2015;07;crude
GB;5711;2015;07;crude
SE;1671;2015;07;crude
DE;2020;2015;07;crude
US;471;2015;07;crude
BE;309;2015;08;crude
CA;0;2015;08;crude
DK;574;2015;08;crude
FI;0;2015;08;crude
FR;531;2015;08;crude
IE;495;2015;08;crude
IT;0;2015;08;crude
MQ;0;2015;08;crude
NL;4459;2015;08;crude
PL;317;2015;08;crude
PT;0;2015;08;crude
ES;0;2015;08;crude
GB;6154;2015;08;crude
SE;1594;2015;08;crude
DE;1496;2015;08;crude
US;392;2015;08;crude
BE;174;2015;09;crude
CA;0;2015;09;crude
DK;444;2015;09;crude
FI;0;2015;09;crude
FR;258;2015;09;crude
IE;752;2015;09;crude
IT;0;2015;09;crude
MQ;0;2015;09;crude
NL;4290;2015;09;crude
PL;0;2015;09;crude
PT;0;2015;09;crude
ES;249;2015;09;crude
GB;5752;2015;09;crude
SE;610;2015;09;crude
DE;2198;2015;09;crude
US;0;2015;09;crude
BE;0;2015;10;crude
CA;0;2015;10;crude
DK;347;2015;10;crude
